当前为第1条语料。
广 B-MB
西 I-MB
龙 I-MB
胜 I-MB
地 I-MB
区 I-MB
金 B-MT
矿 I-MT
属 O
于 O
脆 O
— O
韧 O
性 O
剪 O
切 O
绿 O
岩 O
型 O
, O
成 O
矿 O
物 O
源 O
主 O
要 O
为 O
上 O
元 O
古 O
界 O
地 O
层 O
中 O
的 O
初 O
始 O
富 O
集 O
金 O
, O
在 O
" O
面 O
状 O
" O
渗 O
透 O
性 O
构 O
造 O
带 O
的 O
地 O
质 O
环 O
境 O
中 O
, O
多 O
次 O
强 O
烈 O
的 O
构 O
造 O
活 O
动 O
驱 O
使 O
地 O
下 O
热 O
( O
卤 O
) O
水 O
、 O
区 O
域 O
变 O
质 O
水 O
等 O
热 O
水 O
溶 O
液 O
渗 O
透 O
、 O
循 O
环 O
而 O
形 O
成 O
成 O
矿 O
溶 O
液 O
, O
在 O
构 O
造 O
动 O
力 O
作 O
用 O
下 O
沿 O
断 O
裂 O
、 O
裂 O
隙 O
运 O
移 O
, O
在 O
适 O
宜 O
构 O
造 O
场 O
所 O
沉 O
淀 O
富 O
集 O
成 O
矿 O
。 O
﻿

当前为第2条语料，且该条语料无标注实体。
金 O
矿 O
化 O
类 O
型 O
有 O
石 O
英 O
脉 O
型 O
和 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
两 O
类 O
, O
前 O
者 O
分 O
为 O
细 O
网 O
脉 O
型 O
、 O
脉 O
带 O
型 O
、 O
单 O
脉 O
型 O
、 O
碎 O
裂 O
石 O
英 O
脉 O
型 O
。 O
﻿

当前为第3条语料，且该条语料无标注实体。
后 O
者 O
分 O
为 O
细 O
碎 O
屑 O
岩 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
、 O
碳 O
硅 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
、 O
基 O
性 O
— O
超 O
基 O
性 O
岩 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
该 O
区 O
具 O
有 O
良 O
好 O
的 O
找 O
矿 O
前 O
景 O
, O
提 O
出 O
了 O
以 O
构 O
造 O
活 O
动 O
强 O
烈 O
、 O
构 O
造 O
形 O
迹 O
明 O
显 O
的 O
较 O
低 O
级 O
次 O
的 O
脆 O
— O
韧 O
性 O
剪 O
切 O
断 O
裂 O
、 O
裂 O
隙 O
带 O
和 O
浅 O
变 O
质 O
泥 O
质 O
( O
粉 O
砂 O
) O
岩 O
、 O
浅 O
变 O
质 O
含 O
硅 O
含 O
碳 O
泥 O
质 O
( O
粉 O
砂 O
) O
岩 O
组 O
合 O
找 O
矿 O
的 O
思 O
路 O
, O
并 O
重 O
视 O
进 O
行 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
金 O
矿 O
的 O
找 O
矿 O
。 O
﻿

当前为第5条语料。
区 O
内 O
出 O
露 O
地 O
层 O
有 O
上 O
元 O
古 O
界 O
丹 O
洲 O
群 O
浅 O
变 O
质 O
碎 O
屑 O
— O
细 O
碎 O
屑 O
岩 O
夹 O
钙 O
铁 O
质 O
岩 O
, O
具 O
复 O
理 O
石 O
建 O
造 O
。 O
﻿

当前为第6条语料，且该条语料无标注实体。
可 O
划 O
分 O
上 O
、 O
中 O
、 O
下 O
三 O
部 O
分 O
, O
下 O
部 O
为 O
浅 O
变 O
质 O
砂 O
质 O
页 O
岩 O
、 O
碳 O
质 O
页 O
岩 O
为 O
主 O
, O
中 O
部 O
浅 O
变 O
质 O
砂 O
质 O
页 O
岩 O
、 O
长 O
石 O
石 O
英 O
砂 O
岩 O
为 O
主 O
, O
上 O
部 O
为 O
浅 O
变 O
质 O
砂 O
质 O
页 O
岩 O
夹 O
钙 O
质 O
条 O
带 O
组 O
成 O
。 O
﻿

当前为第7条语料。
震 O
旦 O
系 O
浅 O
变 O
质 O
碎 O
屑 O
— O
细 O
碎 O
屑 O
岩 O
系 O
, O
划 O
分 O
为 O
上 O
、 O
下 O
两 O
部 O
分 O
, O
下 O
部 O
为 O
浅 O
变 O
质 O
含 O
砾 O
泥 O
质 O
砂 O
岩 O
、 O
泥 O
质 O
粉 O
砂 O
岩 O
、 O
含 O
铁 O
砂 O
岩 O
夹 O
条 O
带 O
状 O
磁 O
铁 O
矿 O
, O
上 O
部 O
为 O
浅 O
变 O
质 O
粉 O
砂 O
质 O
页 O
岩 O
、 O
页 O
岩 O
及 O
硅 O
质 O
岩 O
夹 O
碳 O
质 O
页 O
岩 O
和 O
透 O
镜 O
状 O
白 O
云 O
岩 O
。 O
﻿

当前为第8条语料。
寒 O
武 O
系 O
砂 O
岩 O
、 O
页 O
岩 O
, O
具 O
类 O
复 O
理 O
石 O
建 O
造 O
。 O
﻿

当前为第9条语料。
区 O
内 O
出 O
露 O
地 O
层 O
以 O
丹 O
洲 O
群 O
、 O
震 O
旦 O
系 O
为 O
主 O
, O
约 O
占 O
9 O
0 O
% O
左 O
右 O
( O
图 O
1 O
) O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
该 O
区 O
大 O
地 O
构 O
造 O
上 O
位 O
于 O
华 O
南 O
板 O
块 O
二 O
级 O
构 O
造 O
单 O
元 O
扬 O
子 O
陆 O
块 O
南 O
缘 O
与 O
华 O
南 O
褶 O
皱 O
带 O
的 O
交 O
接 O
部 O
位 O
[ O
1 O
] O
, O
加 O
里 O
东 O
造 O
山 O
运 O
动 O
期 O
, O
该 O
区 O
处 O
于 O
华 O
南 O
褶 O
皱 O
带 O
变 O
形 O
的 O
前 O
锋 O
, O
构 O
造 O
变 O
形 O
强 O
烈 O
, O
表 O
现 O
为 O
紧 O
密 O
的 O
线 O
性 O
褶 O
皱 O
和 O
推 O
覆 O
构 O
造 O
。 O
﻿

当前为第11条语料，且该条语料无标注实体。
两 O
条 O
N O
N O
E O
向 O
区 O
域 O
深 O
断 O
裂 O
F O
1 O
( O
寿 O
城 O
) O
和 O
F O
2 O
( O
龙 O
胜 O
— O
永 O
福 O
深 O
断 O
裂 O
) O
贯 O
穿 O
本 O
区 O
( O
图 O
1 O
) O
。 O
﻿

当前为第12条语料，且该条语料无标注实体。
该 O
区 O
区 O
域 O
深 O
断 O
裂 O
具 O
有 O
发 O
生 O
时 O
间 O
早 O
( O
晚 O
元 O
古 O
代 O
) O
、 O
切 O
割 O
深 O
度 O
大 O
( O
硅 O
铝 O
— O
硅 O
镁 O
层 O
) O
、 O
活 O
动 O
时 O
间 O
长 O
( O
雪 O
峰 O
期 O
— O
印 O
支 O
燕 O
山 O
期 O
) O
, O
普 O
遍 O
发 O
生 O
脆 O
— O
韧 O
性 O
剪 O
切 O
变 O
形 O
, O
如 O
基 O
性 O
— O
超 O
基 O
性 O
、 O
长 O
英 O
质 O
糜 O
棱 O
岩 O
带 O
、 O
劈 O
( O
片 O
) O
理 O
化 O
