当前为第1条语料。
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
位 O
于 O
华 O
北 O
地 O
台 O
南 O
缘 O
, O
华 O
熊 O
台 O
隆 O
外 O
方 O
山 O
断 O
隆 O
区 O
西 O
南 O
部 O
、 O
燕 O
山 O
期 O
合 O
峪 O
斑 O
状 O
二 O
长 O
花 O
岗 O
岩 O
与 O
熊 O
耳 O
群 O
火 O
山 O
岩 O
的 O
接 O
触 O
带 O
北 O
侧 O
, O
区 O
域 O
性 O
深 O
大 O
断 O
裂 O
马 O
超 O
营 O
断 O
裂 O
从 O
矿 O
区 O
南 O
部 O
通 O
过 O
。 O
地 O
层 O
主 O
要 O
出 O
露 O
中 O
元 O
古 O
界 O
长 O
城 O
系 O
熊 O
耳 O
群 O
, O
岩 O
性 O
组 O
合 O
为 O
中 O
基 O
性 O
— O
中 O
酸 O
性 O
陆 O
相 O
火 O
山 O
熔 O
岩 O
, O
主 O
要 O
岩 O
石 O
类 O
型 O
为 O
钙 O
碱 O
性 O
系 O
列 O
的 O
英 O
安 O
岩 O
、 O
流 O
纹 O
岩 O
、 O
安 O
山 O
岩 O
及 O
少 O
量 O
流 O
纹 O
质 O
火 O
山 O
碎 O
屑 O
岩 O
, O
另 O
有 O
少 O
量 O
太 O
古 O
界 O
太 O
华 O
群 O
中 O
深 O
变 O
质 O
岩 O
系 O
及 O
中 O
元 O
古 O
界 O
高 O
山 O
河 O
组 O
石 O
英 O
砂 O
岩 O
出 O
露 O
。 O
﻿

当前为第2条语料。
区 O
域 O
岩 O
浆 O
活 O
动 O
频 O
繁 O
, O
火 O
山 O
机 O
构 O
及 O
断 O
裂 O
构 O
造 O
发 O
育 O
, O
成 O
矿 O
地 O
质 O
条 O
件 O
十 O
分 O
有 O
利 O
。 O
﻿

当前为第3条语料。
矿 O
区 O
出 O
露 O
地 O
层 O
为 O
长 O
城 O
系 O
熊 O
耳 O
群 O
焦 O
园 O
组 O
上 O
段 O
, O
岩 O
性 O
为 O
深 O
灰 O
色 O
、 O
紫 O
红 O
色 O
流 O
纹 O
岩 O
、 O
流 O
纹 O
质 O
凝 O
灰 O
熔 O
岩 O
, O
局 O
部 O
夹 O
薄 O
层 O
流 O
纹 O
质 O
凝 O
灰 O
岩 O
及 O
流 O
纹 O
质 O
火 O
山 O
角 O
砾 O
岩 O
小 O
透 O
镜 O
体 O
。 O
﻿

当前为第4条语料。
矿 O
区 O
内 O
断 O
裂 O
构 O
造 O
发 O
育 O
, O
主 O
要 O
有 O
近 O
南 O
北 O
向 O
和 O
近 O
东 O
西 O
向 O
两 O
组 O
。 O
﻿

当前为第5条语料。
南 O
北 O
向 O
断 O
裂 O
为 O
主 O
要 O
控 O
矿 O
断 O
裂 O
, O
由 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
、 O
F O
1 O
8 O
、 O
F O
1 O
7 O
、 O
F O
1 O
6 O
、 O
F O
1 O
6 O
1 O
、 O
F O
2 O
2 O
等 O
组 O
成 O
, O
带 O
宽 O
2 O
k O
m O
。 O
﻿

当前为第6条语料。
该 O
组 O
断 O
裂 O
走 O
向 O
近 O
南 O
北 O
, O
西 O
倾 O
, O
倾 O
角 O
东 O
部 O
稍 O
缓 O
3 B-GO
5 I-GO
～ I-GO
5 I-GO
5 I-GO
° I-GO
, O
西 O
部 O
较 O
陡 O
5 B-GO
5 I-GO
～ I-GO
8 I-GO
5 I-GO
° I-GO
, O
长 O
度 O
数 O
百 O
米 O
到 O
4 O
k O
m O
, O
宽 O
度 O
一 O
般 O
1 O
～ O
1 O
5 O
m O
, O
断 O
面 O
局 O
部 O
平 O
整 O
, O
总 O
体 O
呈 O
舒 O
缓 O
波 O
状 O
。 O
﻿

当前为第7条语料，且该条语料无标注实体。
带 O
内 O
主 O
要 O
由 O
构 O
造 O
角 O
砾 O
岩 O
、 O
碎 O
裂 O
岩 O
、 O
糜 O
棱 O
岩 O
化 O
碎 O
裂 O
岩 O
组 O
成 O
。 O
﻿

当前为第8条语料，且该条语料无标注实体。
围 O
岩 O
主 O
要 O
为 O
碎 O
裂 O
流 O
纹 O
岩 O
、 O
蚀 O
变 O
流 O
纹 O
岩 O
, O
围 O
岩 O
蚀 O
变 O
强 O
烈 O
并 O
有 O
不 O
同 O
程 O
度 O
的 O
矿 O
化 O
。 O
﻿

