当前为第1条语料。
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
床 I-MT
属 O
于 O
蚀 B-MT
变 I-MT
岩 I-MT
型 I-MT
金 I-MT
矿 I-MT
, O
产 O
于 O
西 O
秦 O
岭 O
泥 O
盆 O
系 O
中 O
统 O
碎 O
屑 O
岩 O
中 O
, O
蚀 O
变 O
以 O
硅 B-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
褐 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
碳 B-MA
酸 I-MA
盐 I-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
为 O
特 O
征 O
。 O
矿 O
石 O
中 O
金 O
以 O
自 O
然 O
金 O
为 O
主 O
, O
黄 O
铁 O
矿 O
、 O
褐 O
铁 O
矿 O
、 O
石 O
英 O
是 O
主 O
要 O
的 O
载 O
金 O
矿 O
物 O
。 O
﻿

当前为第2条语料。
断 O
裂 O
构 O
造 O
是 O
矿 O
床 O
最 O
主 O
要 O
的 O
控 O
矿 O
因 O
素 O
	 O
。 O
﻿

当前为第3条语料。
矿 O
床 O
位 O
于 O
西 O
秦 O
岭 O
海 O
西 O
印 O
支 O
地 O
槽 O
褶 O
皱 O
带 O
西 O
部 O
, O
西 O
成 O
矿 O
田 O
西 O
段 O
, O
见 O
图 O
1 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
大 O
地 O
构 O
造 O
位 O
置 O
处 O
于 O
昆 O
仑 O
- O
秦 O
岭 O
褶 O
皱 O
区 O
。 O
﻿

当前为第5条语料，且该条语料无标注实体。
区 O
内 O
自 O
加 O
里 O
东 O
以 O
来 O
是 O
长 O
期 O
构 O
造 O
运 O
动 O
的 O
近 O
E O
W O
向 O
海 O
槽 O
, O
接 O
受 O
了 O
一 O
套 O
浅 O
海 O
相 O
碎 O
屑 O
岩 O
、 O
碳 O
酸 O
盐 O
岩 O
沉 O
积 O
建 O
造 O
。 O
﻿

当前为第6条语料。
三 O
迭 O
纪 O
末 O
的 O
印 O
支 O
运 O
动 O
使 O
地 O
槽 O
回 O
返 O
, O
地 O
层 O
发 O
生 O
强 O
烈 O
褶 O
皱 O
, O
形 O
成 O
近 O
E O
W O
向 O
展 O
布 O
的 O
以 O
吴 O
家 O
山 O
复 O
式 O
背 O
斜 O
为 O
骨 O
架 O
的 O
主 O
体 O
构 O
造 O
。 O
﻿

当前为第7条语料。
主 O
要 O
地 O
层 O
为 O
泥 O
盆 O
系 O
、 O
少 O
量 O
第 O
三 O
系 O
、 O
侏 O
罗 O
系 O
和 O
三 O
迭 O
系 O
。 O
﻿

当前为第8条语料，且该条语料无标注实体。
断 O
裂 O
构 O
造 O
以 O
近 O
E O
W O
向 O
展 O
布 O
的 O
纬 O
向 O
构 O
造 O
体 O
系 O
为 O
主 O
, O
次 O
级 O
构 O
造 O
呈 O
N O
E O
向 O
, O
与 O
成 O
矿 O
无 O
成 O
因 O
联 O
系 O
。 O
﻿

当前为第9条语料，且该条语料无标注实体。
区 O
域 O
内 O
岩 O
浆 O
活 O
动 O
较 O
强 O
, O
酸 O
性 O
- O
中 O
酸 O
性 O
岩 O
体 O
均 O
有 O
出 O
露 O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
矿 O
区 O
北 O
西 O
5 O
k O
m O
处 O
出 O
露 O
的 O
海 O
西 O
期 O
草 O
关 O
花 O
岗 O
闪 O
长 O
岩 O
体 O
侵 O
入 O
在 O
泥 O
盆 O
纪 O
地 O
层 O
中 O
。 O
﻿

当前为第11条语料，且该条语料无标注实体。
受 O
其 O
影 O
响 O
, O
区 O
内 O
地 O
层 O
普 O
遍 O
遭 O
受 O
热 O
变 O
质 O
作 O
用 O
。 O
﻿

当前为第12条语料。
矿 O
区 O
主 O
要 O
赋 O
矿 O
地 O
层 O
为 O
泥 O
盆 O
系 O
中 O
统 O
安 O
家 O
岔 O
组 O
上 O
段 O
地 O
层 O
, O
容 O
矿 O
岩 O
石 O
为 O
钙 O
质 O
、 O
粉 O
砂 O
质 O
绢 O
云 O
母 O
千 O
枚 O
岩 O
、 O
钙 O
砂 O
岩 O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
主 O
要 O
为 O
一 O
套 O
浅 O
海 O
相 O
中 O
细 O
粒 O
碎 O
屑 O
岩 O
、 O
碳 O
酸 O
盐 O
岩 O
沉 O
积 O
建 O
造 O
。 O
﻿

当前为第14条语料，且该条语料无标注实体。
岩 O
石 O
中 O
原 O
生 O
沉 O
积 O
构 O
造 O
发 O
育 O
, O
沉 O
积 O
韵 O
律 O
明 O
显 O
。 O
﻿

当前为第15条语料，且该条语料无标注实体。
根 O
据 O
岩 O
石 O
组 O
合 O
特 O
征 O
和 O
沉 O
积 O
韵 O
律 O
进 O
一 O
步 O
分 O
为 O
二 O
层 O
。 O
﻿

当前为第16条语料，且该条语料无标注实体。
⑴ O
上 O
段 O
第 O
一 O
层 O
( O
D O
2 O
a O
2 O
- O
1 O
) O
: O
浅 O
灰 O
色 O
钙 O
质 O
、 O
粉 O
砂 O
质 O
千 O
枚 O
岩 O
、 O
斑 O
点 O
状 O
千 O
枚 O
岩 O
夹 O
多 O
层 O
黄 O
褐 O
色 O
砂 O
质 O
板 O
岩 O
透 O
镜 O
体 O
。 O
﻿

当前为第17条语料，且该条语料无标注实体。
该 O
层 O
根 O
据 O
不 O
同 O
的 O
岩 O
性 O
组 O
合 O
又 O
可 O
分 O
为 O
两 O
个 O
亚 O
层 O
。 O
﻿

当前为第18条语料，且该条语料无标注实体。
第 O
一 O
亚 O
层 O
( O
D O
2 O
a O
2 O
- O
1 O
a O
) O
: O
浅 O
黄 O
色 O
钙 O
质 O
、 O
粉 O
砂 O
质 O
绢 O
云 O
母 O
千 O
枚 O
岩 O
夹 O
黄 O
褐 O
色 O
薄 O
层 O
状 O
钙 O
砂 O
岩 O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
金 O
矿 O
体 O
主 O
要 O
赋 O
存 O
于 O
该 O
层 O
中 O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
第 O
二 O
亚 O
层 O
( O
D O
2 O
a O
2 O
- O
1 O
b O
) O
: O
黄 O
绿 O
色 O
粉 O
砂 O
质 O
绢 O
云 O
母 O
千 O
枚 O
岩 O
夹 O
黄 O
褐 O
色 O
砂 O
质 O
板 O
岩 O
及 O
灰 O
岩 O
透 O
镜 O
体 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
该 O
层 O
中 O
金 O
矿 O
化 O
较 O
弱 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
⑵ O
上 O
段 O
第 O
二 O
层 O
( O
D O
2 O
a O
2 O
- O
2 O
) O
: O
浅 O
灰 O
色 O
钙 O
质 O
砂 O
岩 O
夹 O
黄 O
褐 O
