当前为第1条语料。
青 B-LOC
云 I-LOC
山 I-LOC
铜 B-MT
金 I-MT
矿 I-MT
为 O
次 O
火 O
山 O
低 O
温 O
热 O
液 O
矿 O
床 O
, O
矿 O
区 O
共 O
有 O
6 O
个 O
工 O
业 O
铜 O
金 B-MT
矿 I-MT
体 I-MT
, O
矿 O
体 O
受 O
断 O
裂 O
及 O
构 O
造 O
蚀 O
变 O
带 O
控 O
制 O
, O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
为 O
石 O
英 O
脉 O
型 O
, O
其 O
余 O
皆 O
属 O
构 O
造 O
破 O
碎 O
带 O
蚀 O
变 O
岩 O
型 O
。 O
矿 O
区 O
东 O
矿 O
段 O
天 O
花 O
寨 O
一 O
带 O
的 O
不 O
整 O
合 O
面 O
、 O
西 O
矿 O
段 O
的 O
深 O
部 O
、 O
F O
3 O
7 O
和 O
F O
3 O
断 O
裂 O
及 O
旁 O
侧 O
次 O
级 O
断 O
裂 O
在 O
走 O
向 O
( O
倾 O
向 O
) O
上 O
的 O
变 O
化 O
部 O
位 O
是 O
下 O
一 O
步 O
找 O
矿 O
的 O
有 O
利 O
地 O
段 O
。 O
﻿

当前为第2条语料，且该条语料无标注实体。
本 O
区 O
处 O
于 O
闽 O
东 O
火 O
山 O
断 O
拗 O
带 O
之 O
周 O
宁 O
— O
华 O
安 O
断 O
隆 O
带 O
的 O
次 O
一 O
级 O
单 O
元 O
, O
在 O
华 O
力 O
西 O
- O
印 O
支 O
期 O
拗 O
褶 O
的 O
基 O
础 O
上 O
, O
燕 O
山 O
期 O
发 O
生 O
大 O
规 O
模 O
火 O
山 O
喷 O
发 O
, O
沿 O
构 O
造 O
活 O
动 O
带 O
发 O
生 O
强 O
烈 O
的 O
区 O
域 O
变 O
质 O
和 O
混 O
合 O
岩 O
化 O
作 O
用 O
。 O
﻿

当前为第3条语料，且该条语料无标注实体。
成 O
矿 O
地 O
质 O
背 O
景 O
有 O
以 O
下 O
几 O
个 O
特 O
点 O
。 O
﻿

当前为第4条语料，且该条语料无标注实体。
( O
1 O
) O
具 O
较 O
丰 O
富 O
的 O
矿 O
质 O
来 O
源 O
。 O
﻿

当前为第5条语料。
区 O
内 O
具 O
有 O
3 O
个 O
构 O
造 O
层 O
次 O
的 O
地 O
质 O
建 O
造 O
: O
中 O
上 O
元 O
古 O
界 O
马 O
面 O
山 O
群 O
玄 O
武 O
岩 O
- O
流 O
纹 O
岩 O
建 O
造 O
、 O
二 O
叠 O
- O
三 O
叠 O
系 O
碳 O
酸 O
盐 O
岩 O
- O
碎 O
屑 O
岩 O
建 O
造 O
和 O
侏 O
罗 O
系 O
碎 O
屑 O
岩 O
- O
火 O
山 O
岩 O
建 O
造 O
。 O
﻿

当前为第6条语料，且该条语料无标注实体。
区 O
内 O
已 O
知 O
矿 O
床 O
多 O
分 O
布 O
于 O
马 O
面 O
山 O
群 O
变 O
质 O
岩 O
系 O
中 O
, O
这 O
套 O
岩 O
系 O
因 O
其 O
金 O
丰 O
度 O
高 O
( O
7 O
. O
4 O
8 O
× O
1 O
0 O
- O
6 O
~ O
1 O
0 O
× O
1 O
0 O
- O
6 O
) O
, O
为 O
地 O
壳 O
丰 O
度 O
值 O
的 O
2 O
~ O
3 O
倍 O
, O
属 O
本 O
区 O
金 O
矿 O
的 O
矿 O
源 O
层 O
。 O
﻿

当前为第7条语料，且该条语料无标注实体。
( O
2 O
) O
岩 O
浆 O
活 O
动 O
为 O
区 O
内 O
铜 O
金 O
矿 O
形 O
成 O
提 O
供 O
热 O
动 O
力 O
条 O
件 O
。 O
﻿

当前为第8条语料。
区 O
内 O
侵 O
入 O
岩 O
分 O
布 O
广 O
泛 O
, O
华 O
力 O
西 O
- O
印 O
支 O
期 O
石 O
英 O
闪 O
长 O
岩 O
呈 O
岩 O
株 O
、 O
岩 O
瘤 O
产 O
出 O
, O
燕 O
山 O
早 O
期 O
侵 O
入 O
岩 O
有 O
二 O
长 O
花 O
岗 O
岩 O
、 O
黑 O
云 O
